roc_auc,std,params,model__ccp_alpha,model__criterion,model__learning_rate,model__loss,model__max_depth,model__max_features,model__min_samples_leaf,model__n_iter_no_change,model__subsample
0.8514208370263159,0.005075576094413858,"{'model__ccp_alpha': 0.005415113256960287, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.1, 'model__loss': 'exponential', 'model__max_depth': 22, 'model__max_features': 'log2', 'model__min_samples_leaf': 25, 'model__n_iter_no_change': 15, 'model__subsample': 0.9}",0.005415113256960287,friedman_mse,0.1,exponential,22,log2,25,15,0.9
0.8512885099295293,0.003602453965494733,"{'model__ccp_alpha': 0.0026005667249217644, 'model__criterion': 'squared_error', 'model__learning_rate': 0.03, 'model__loss': 'exponential', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 50, 'model__subsample': 0.9}",0.0026005667249217644,squared_error,0.03,exponential,7,,75,50,0.9
0.8512323294538156,0.0038706741957341877,"{'model__ccp_alpha': 0.006440539140924347, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.03, 'model__loss': 'exponential', 'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 5, 'model__subsample': 0.7}",0.006440539140924347,friedman_mse,0.03,exponential,5,log2,75,5,0.7
0.851171549743991,0.004641636880276373,"{'model__ccp_alpha': 0.006635024926154502, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.01, 'model__loss': 'exponential', 'model__max_depth': 23, 'model__max_features': 'log2', 'model__min_samples_leaf': 150, 'model__n_iter_no_change': 15, 'model__subsample': 0.9}",0.006635024926154502,friedman_mse,0.01,exponential,23,log2,150,15,0.9
0.8510520028711447,0.004534962617388086,"{'model__ccp_alpha': 0.00645702009078719, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.1, 'model__loss': 'exponential', 'model__max_depth': 28, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 25, 'model__n_iter_no_change': 25, 'model__subsample': 0.8}",0.00645702009078719,friedman_mse,0.1,exponential,28,sqrt,25,25,0.8
0.8508787678628649,0.003737476741240029,"{'model__ccp_alpha': 0.0026195105389500324, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.3, 'model__loss': 'exponential', 'model__max_depth': 7, 'model__max_features': 'auto', 'model__min_samples_leaf': 100, 'model__n_iter_no_change': 50, 'model__subsample': 0.8}",0.0026195105389500324,friedman_mse,0.3,exponential,7,auto,100,50,0.8
0.8505549349659283,0.0034344648063683097,"{'model__ccp_alpha': 0.000128310297686873, 'model__criterion': 'squared_error', 'model__learning_rate': 0.05, 'model__loss': 'log_loss', 'model__max_depth': 25, 'model__max_features': None, 'model__min_samples_leaf': 25, 'model__n_iter_no_change': 15, 'model__subsample': 0.7}",0.000128310297686873,squared_error,0.05,log_loss,25,,25,15,0.7
0.8504572849588161,0.003031467840255067,"{'model__ccp_alpha': 9.670173279021938e-05, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.3, 'model__loss': 'deviance', 'model__max_depth': 24, 'model__max_features': 'auto', 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 50, 'model__subsample': 0.9}",9.670173279021938e-05,friedman_mse,0.3,deviance,24,auto,75,50,0.9
0.8504379179742326,0.003367893653545803,"{'model__ccp_alpha': 0.004817934344654284, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.2, 'model__loss': 'exponential', 'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 150, 'model__n_iter_no_change': 25, 'model__subsample': 0.9}",0.004817934344654284,friedman_mse,0.2,exponential,8,sqrt,150,25,0.9
0.8502954343799898,0.004511820111501775,"{'model__ccp_alpha': 0.0029888516034032937, 'model__criterion': 'squared_error', 'model__learning_rate': 0.3, 'model__loss': 'exponential', 'model__max_depth': 26, 'model__max_features': 'auto', 'model__min_samples_leaf': 150, 'model__n_iter_no_change': 50, 'model__subsample': 0.7}",0.0029888516034032937,squared_error,0.3,exponential,26,auto,150,50,0.7
