roc_auc,std,params,model__grow_policy,model__learning_rate,model__max_depth,model__min_child_samples,model__reg_lambda,model__subsample
0.8644018333091974,0.003935287295063206,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 12, 'model__min_child_samples': 150, 'model__reg_lambda': 98.71555409923445, 'model__subsample': 1.0}",Depthwise,0.1,12,150,98.71555409923445,1.0
0.8643991490133937,0.003800536114551802,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 10, 'model__min_child_samples': 150, 'model__reg_lambda': 63.57691363581089, 'model__subsample': 0.9}",Depthwise,0.1,10,150,63.57691363581089,0.9
0.8643953729467713,0.0035251152083337726,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 15, 'model__min_child_samples': 150, 'model__reg_lambda': 95.86702324830816, 'model__subsample': 1.0}",Depthwise,0.1,15,150,95.86702324830816,1.0
0.8643872930166804,0.0039999901734394435,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 14, 'model__min_child_samples': 50, 'model__reg_lambda': 72.8033163629686, 'model__subsample': 0.8}",Depthwise,0.1,14,50,72.8033163629686,0.8
0.864370427774954,0.0037217275578158796,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 13, 'model__min_child_samples': 150, 'model__reg_lambda': 76.62753981619603, 'model__subsample': 0.7}",Depthwise,0.1,13,150,76.62753981619603,0.7
0.8643681760171159,0.0038170657965491276,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 9, 'model__min_child_samples': 150, 'model__reg_lambda': 99.96580992306411, 'model__subsample': 0.6}",Depthwise,0.1,9,150,99.96580992306411,0.6
0.8643309447533977,0.0037710976837869734,"{'model__grow_policy': 'Lossguide', 'model__learning_rate': 0.1, 'model__max_depth': 10, 'model__min_child_samples': 50, 'model__reg_lambda': 14.614865114451248, 'model__subsample': 0.8}",Lossguide,0.1,10,50,14.614865114451248,0.8
0.8643199977943793,0.0037536579389240363,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 13, 'model__min_child_samples': 150, 'model__reg_lambda': 21.04189353223886, 'model__subsample': 1.0}",Depthwise,0.1,13,150,21.04189353223886,1.0
0.8643183501572809,0.003600680508131369,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 15, 'model__min_child_samples': 150, 'model__reg_lambda': 66.7347458052393, 'model__subsample': 1.0}",Depthwise,0.1,15,150,66.7347458052393,1.0
0.8642985025038513,0.0037973293887722573,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 13, 'model__min_child_samples': 150, 'model__reg_lambda': 96.49329767499204, 'model__subsample': 1.0}",Depthwise,0.1,13,150,96.49329767499204,1.0
0.8642948027787496,0.003883973625825254,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 13, 'model__min_child_samples': 150, 'model__reg_lambda': 92.67808820503595, 'model__subsample': 1.0}",Depthwise,0.1,13,150,92.67808820503595,1.0
0.8642528552093355,0.0036761151325361502,"{'model__grow_policy': 'Lossguide', 'model__learning_rate': 0.1, 'model__max_depth': 12, 'model__min_child_samples': 150, 'model__reg_lambda': 33.303924666334375, 'model__subsample': 1.0}",Lossguide,0.1,12,150,33.303924666334375,1.0
0.8642527192239043,0.003830815278115079,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.05, 'model__max_depth': 11, 'model__min_child_samples': 150, 'model__reg_lambda': 50.261896927421176, 'model__subsample': 0.6}",Depthwise,0.05,11,150,50.261896927421176,0.6
