roc_auc,std,params,model__booster,model__gamma,model__grow_policy,model__learning_rate,model__max_delta_step,model__max_depth,model__reg_alpha,model__reg_lambda,model__subsample
0.8626271928017608,0.0035074582425321647,"{'model__booster': 'dart', 'model__gamma': 4.799941722253509, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.3, 'model__max_delta_step': 4.159742530469854, 'model__max_depth': 18, 'model__reg_alpha': 34.370586078130145, 'model__reg_lambda': 62.3969442054158, 'model__subsample': 0.9}",dart,4.799941722253509,lossguide,0.3,4.159742530469854,18,34.370586078130145,62.3969442054158,0.9
0.8624843063553902,0.004176632519955039,"{'model__booster': 'dart', 'model__gamma': 2.823689020646866, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.2, 'model__max_delta_step': 7.667646137201252, 'model__max_depth': 10, 'model__reg_alpha': 4.580886630448685, 'model__reg_lambda': 5.270253112689339, 'model__subsample': 0.8}",dart,2.823689020646866,lossguide,0.2,7.667646137201252,10,4.580886630448685,5.270253112689339,0.8
0.8624443214105618,0.0032664426399924462,"{'model__booster': 'dart', 'model__gamma': 4.998562968673854, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.3, 'model__max_delta_step': 3.4684399896391036, 'model__max_depth': 26, 'model__reg_alpha': 32.74262756553246, 'model__reg_lambda': 62.70371407761846, 'model__subsample': 0.8}",dart,4.998562968673854,lossguide,0.3,3.4684399896391036,26,32.74262756553246,62.70371407761846,0.8
0.8622554981407783,0.003758777744951584,"{'model__booster': 'dart', 'model__gamma': 11.023834150474391, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.3, 'model__max_delta_step': 9.978158500119843, 'model__max_depth': 13, 'model__reg_alpha': 5.889711084598826, 'model__reg_lambda': 47.86967967121545, 'model__subsample': 0.8}",dart,11.023834150474391,lossguide,0.3,9.978158500119843,13,5.889711084598826,47.86967967121545,0.8
0.8622512881867415,0.0035624356395715932,"{'model__booster': 'dart', 'model__gamma': 8.666196253982342, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.3, 'model__max_delta_step': 8.168467074862718, 'model__max_depth': 27, 'model__reg_alpha': 21.504063765973427, 'model__reg_lambda': 51.64117341272825, 'model__subsample': 0.8}",dart,8.666196253982342,lossguide,0.3,8.168467074862718,27,21.504063765973427,51.64117341272825,0.8
0.862238447383709,0.003777603384279,"{'model__booster': 'gbtree', 'model__gamma': 8.278174775950061, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.2, 'model__max_delta_step': 9.673870276670666, 'model__max_depth': 10, 'model__reg_alpha': 5.925683836641944, 'model__reg_lambda': 16.99783809480931, 'model__subsample': 0.8}",gbtree,8.278174775950061,lossguide,0.2,9.673870276670666,10,5.925683836641944,16.99783809480931,0.8
0.8622291959144389,0.003453751184322778,"{'model__booster': 'dart', 'model__gamma': 7.3689807972953965, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.3, 'model__max_delta_step': 9.255185010490909, 'model__max_depth': 7, 'model__reg_alpha': 11.109153684874777, 'model__reg_lambda': 55.07004203187689, 'model__subsample': 1.0}",dart,7.3689807972953965,lossguide,0.3,9.255185010490909,7,11.109153684874777,55.07004203187689,1.0
0.8620417657092752,0.0037735167027325676,"{'model__booster': 'dart', 'model__gamma': 15.147585526922047, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.3, 'model__max_delta_step': 9.181109494460063, 'model__max_depth': 28, 'model__reg_alpha': 5.247403414193519, 'model__reg_lambda': 32.818301237277026, 'model__subsample': 0.8}",dart,15.147585526922047,lossguide,0.3,9.181109494460063,28,5.247403414193519,32.818301237277026,0.8
0.8619982089321736,0.0035992958176780778,"{'model__booster': 'dart', 'model__gamma': 5.752728846558844, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.2, 'model__max_delta_step': 6.8678123955763, 'model__max_depth': 10, 'model__reg_alpha': 10.783963116505454, 'model__reg_lambda': 31.558072053488264, 'model__subsample': 0.8}",dart,5.752728846558844,lossguide,0.2,6.8678123955763,10,10.783963116505454,31.558072053488264,0.8
0.8619278059814139,0.0038469619233063926,"{'model__booster': 'dart', 'model__gamma': 10.539004266083367, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.3, 'model__max_delta_step': 8.95322768460379, 'model__max_depth': 7, 'model__reg_alpha': 14.738302664478107, 'model__reg_lambda': 65.67488292040049, 'model__subsample': 1.0}",dart,10.539004266083367,lossguide,0.3,8.95322768460379,7,14.738302664478107,65.67488292040049,1.0
