roc_auc,std,params,model__boosting_type,model__learning_rate,model__max_depth,model__min_child_samples,model__reg_alpha,model__reg_lambda,model__subsample
0.8636631694622251,0.00374683015136464,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__min_child_samples': 25, 'model__reg_alpha': 30.137400990459234, 'model__reg_lambda': 23.28752236678475, 'model__subsample': 1.0}",gbdt,0.1,7,25,30.137400990459234,23.28752236678475,1.0
0.8636516826261156,0.0035455600934988737,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__min_child_samples': 10, 'model__reg_alpha': 50.18166365458542, 'model__reg_lambda': 34.08803742304719, 'model__subsample': 1.0}",gbdt,0.1,7,10,50.18166365458542,34.08803742304719,1.0
0.8636378519865138,0.003597936308334096,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__min_child_samples': 25, 'model__reg_alpha': 13.313913807910037, 'model__reg_lambda': 16.28051533094655, 'model__subsample': 1.0}",gbdt,0.1,7,25,13.313913807910037,16.28051533094655,1.0
0.8636332625068933,0.003868459894261955,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__min_child_samples': 25, 'model__reg_alpha': 32.63280288656843, 'model__reg_lambda': 10.58332020180233, 'model__subsample': 1.0}",gbdt,0.1,7,25,32.63280288656843,10.58332020180233,1.0
0.8636288327001965,0.0038689996511045432,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 16, 'model__min_child_samples': 25, 'model__reg_alpha': 24.619247605975694, 'model__reg_lambda': 3.5832381981649295, 'model__subsample': 0.7}",gbdt,0.1,16,25,24.619247605975694,3.5832381981649295,0.7
0.863609945798302,0.003993028099365074,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 16, 'model__min_child_samples': 25, 'model__reg_alpha': 11.93779614852858, 'model__reg_lambda': 44.53923295051721, 'model__subsample': 1.0}",gbdt,0.1,16,25,11.93779614852858,44.53923295051721,1.0
0.8636024287614614,0.003986807467603299,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 15, 'model__min_child_samples': 150, 'model__reg_alpha': 0.13859173676163447, 'model__reg_lambda': 92.91995147308147, 'model__subsample': 1.0}",gbdt,0.1,15,150,0.13859173676163447,92.91995147308147,1.0
0.8636010851801845,0.0035703677826829853,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 25, 'model__min_child_samples': 50, 'model__reg_alpha': 33.656411737982545, 'model__reg_lambda': 56.791674909213356, 'model__subsample': 0.9}",gbdt,0.1,25,50,33.656411737982545,56.791674909213356,0.9
0.8635896518912116,0.00405022067392817,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 15, 'model__min_child_samples': 150, 'model__reg_alpha': 14.134843844395412, 'model__reg_lambda': 87.21036845079362, 'model__subsample': 1.0}",gbdt,0.1,15,150,14.134843844395412,87.21036845079362,1.0
0.8635868590530427,0.0036789871846827755,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 25, 'model__min_child_samples': 25, 'model__reg_alpha': 33.424391322457254, 'model__reg_lambda': 26.241724474431088, 'model__subsample': 1.0}",gbdt,0.1,25,25,33.424391322457254,26.241724474431088,1.0
